file,sprite,id,kind,rarity,status,active_type,name_key,name_en,name_ko,categories,effect_ko,effect_en
Fire Circus,Skill_Icon_FireCircus,3035,artifact,0,active,Hidden,Skill_0002_Name,Fire Circus,불 서커스,,스킬 불 서커스 획득 / 목표 지점으로 날아가는 8개의 화염 구체 소환 / CD: 1s / MP: 16/18/19/20 / 피해량: 0 + 화염속성 피해 100/120/140/160% / 보너스: +0%,Acquire Skill Fire Circus / Summon 8 fire orbs that fly to the target location. / CD: 1s / MP: 16/18/19/20 / Damage: 0 + Fire Damage 100/120/140/160% / Bonus: +0%
Fire Circus [3013],Skill_Icon_FireCircus,3013,artifact,2,active,Locked,Skill_0002_Name,Fire Circus,불 서커스,EMBER,스킬 불 서커스 획득 / 목표 지점으로 날아가는 8개의 화염 구체 소환 / CD: 10s / MP: 16/18/19/20 / 피해량: 18 + 화염속성 피해 55/75/100/130% / 보너스: +10/16/22/30%,Acquire Skill Fire Circus / Summon 8 fire orbs that fly to the target location. / CD: 10s / MP: 16/18/19/20 / Damage: 18 + Fire Damage 55/75/100/130% / Bonus: +10/16/22/30%
Firefly,LightningBug,1159,artifact,1,active,Locked,Item_FireFly_Name,Firefly,반딧불이,MAGITECH,번개속성 피해 +4/8/12 / (피격 시 6초간 비활성화),+4/8/12 Lightning Damage (Deactivated for 6 seconds upon hit)
Flame Bug,FireBug,1211,artifact,2,active,Locked,Item_BurnStack_Name,Flame Bug,화염충,EMBER,0/1/1/2/3/4 화상 중첩,0/1/1/2/3/4 Burn stacks
Flame Herb Root,FlameRoot,1153,artifact,2,active,Default,Item_FlamePlantRoot_Name,Flame Herb Root,화염초 뿌리,EMBER,+6/12/20 최대 MP / 특수 공격: 퓨리 적중 시 주변에 화염 속성의 +200/400/600% 피해를 입힘,"+6/12/20 Max MP / On Special Attack: Fury hit, deal +200/400/600% Fire damage to nearby enemies"
Flaming Eye Patch,FlameBlindfold,1185,artifact,1,active,Default,Item_Burn_Name,Flaming Eye Patch,화염 가리개,EMBER,+2/4/6% 공격 속도 / 화염 속성 피해의 치명타 피해 +11/22/33% (동료 피해에도 적용),+2/4/6% Attack Speed / Fire element damage Critical Damage +11/22/33% (applies to Companion damage)
Fluffy Fur Gloves,WarmGlove,1177,artifact,2,active,Default,Item_WarmGlove_Name,Fluffy Fur Gloves,푹신한 털장갑,GLACIER,동상에 걸린 대상은 얼음속성 피해에 +5/10/15/20/25% 더 피해를 입음 (동료 피해에도 적용),Targets afflicted by Frostbite take an additional +5/10/15/20/25% damage from Cold Damage (also applies to Companion damage)
Flux Coupler Mk.2,LightningGenerator,1263,artifact,2,active,Locked,Item_CompanionCloud_Name,Flux Coupler Mk.2,플럭스 결합기 Mk.2,"DARKCLOUD, COMPANION",+3/6/9/12% 동료가 입히는 피해량 / 동료가 번개 피해를 입힐 때 먹구름 +1/1/1/1회 발동 (동료별 재사용 대기시간 0.1초),+3/6/9/12% Companion Damage / Activates Storm Cloud +1/1/1/1 times when a companion deals Lightning damage (Cooldown per companion: 0.1 sec)
Fretted Clay Tablet,KeyPatternClayTablets,1104,artifact,3,active,Default,Item_DarkCloud_Critical_Name,Fretted Clay Tablet,뇌문 점토판,DARKCLOUD,먹구름이 10/20/30/40/50% 확률로 소모되지 않음,Storm Cloud is not consumed with a 10/20/30/40/50% chance
Frost Dagger,Skill_Icon_FrostDaggert,3020,artifact,1,active,Locked,Skill_0025_Name,Frost Dagger,서리 단검,GLACIER,스킬 서리 단검 획득 / 가까운 적을 향해 날아가 폭발하는 단검을 4개 소환 / CD: 10s / MP: 10/11/12/13/14 / 피해량: 25 + 얼음속성 피해 90/135/180/220/260%,Acquire Skill Frost Dagger / Summon 4 daggers that fly towards nearby enemies and explode / CD: 10s / MP: 10/11/12/13/14 / Damage: 25 + Cold Damage 90/135/180/220/260%
Frostium Ring,FrostiumRing,1175,artifact,0,active,Default,Item_FrostiumRing_Name,Frostium Ring,프로슘 반지,GLACIER,무기 공격이나 마법서로 피해를 주면 대상에게 +10/20/30 얼음속성 피해를 가함 (재사용 대기시간 2초),"When dealing damage with Weapon Attack or Grimoire, inflict +10/20/30 Cold Damage on target (Cooldown 2 sec)"
Frozen Bow,IceBow,1247,artifact,3,active,Default,Item_IceBow_Name,Frozen Bow,얼어붙은 활,FROST,0.8초마다 1발씩 자동 충전 (최대 7) / 적에게 화살을 발사해 얼음속성 피해를 가함 / [피해량: 12 (12+얼음속성 피해+50/60/70/80/100//120/130/140/150/160%)],Automatically reloads 1 shot every 0.8 seconds (up to 7) / Fire an arrow at the enemy dealing Cold Damage / [Damage: 12 (12+Cold Damage+50/60/70/80/100//120/130/140/150/160%)]
Frozen Egg,IceEgg,1150,artifact,2,active,Locked,Item_FrozenEgg_Name,Frozen Egg,얼어버린 알,GLACIER,-9/6/3/0 MP 재생 / 얼음 속성 공격의 치명타 확률 +5/10/15/20% 증가 (동료 피해에도 적용),-9/6/3/0 MP Regeneration / Increases the Critical Chance of ice attacks by +5/10/15/20% (also applies to Companion damage)
Frozen Heart,FrozenHeart,1209,artifact,2,active,Default,Item_FastFrostRelic_Name,Frozen Heart,얼어붙은 심장,FROST,+10/18/26/40/55//70/85/100% 얼음 무구 충전 속도,+10/18/26/40/55//70/85/100% Frost Relic Charge Speed
Garnet Badge,Key_Garnet,1297,artifact,1,active,WitchHat,Item_KeyEmber_Name,Garnet Badge,가넷 배지,,+2/4/6/8/10% 무기 피해량 / +2/3/4/5/6 화염속성 피해,+2/4/6/8/10% Weapon Damage / +2/3/4/5/6 Fire Damage
Giant Telescope,AstronomicalTelescope,1108,artifact,2,active,Default,Item_PlanetModule_Name,Giant Telescope,거대 망원경,PLANET,+5/10/15% 행성 공격 속도 / 주변 8칸에 위치한 행성을 거대화 (거대화된 행성은 투사체가 커지고 피해량이 50% 증가),+5/10/15% Planet Attack Speed / Enlarge planets located within 8 slots (Enlarged planets have larger projectiles and deal 50% increased damage)
Glass Hammer,GlassHammar,1156,artifact,1,active,Locked,Item_GlassHammer_Name,Glass Hammer,유리 망치,STURDY,+3/6/9/12% 무기 피해량 / -3/6/9/12% 최종 HP,+3/6/9/12% Weapon Damage / -3/6/9/12% Final HP
Glowing Hourglass,ShineHourglass,1168,artifact,2,active,Locked,Item_RightSpellCooldownHelper_Name,Glowing Hourglass,빛나는 모래시계,ACADEMY,오른쪽 칸의 마법서 마법서 가속 +60/100/140% 증가,Increases the Grimoire Haste of the Grimoire in the right slot by +60/100/140%
Golden Cloak,GoldenCape,1149,artifact,1,active,Default,Item_GoldenCloak_Name,Golden Cloak,금빛 망토,WINDSONG,+1/1/2 대시 횟수 / +3/6/9% 공격 속도,+1/1/2 Dash Count / +3/6/9% Attack Speed
Golden Crown of Arrogance,CrownOfPride,1025,artifact,2,active,Default,Item_RustyCrown_Name,Golden Crown of Arrogance,교만의 금관,PRECISION,일반 공격 마지막 연격의 치명타 확률 +15/30/50/75/100%,The last hit of the combo gains Critical Chance +15/30/50/75/100%
Golden Handbell,GoldHandBell,1029,artifact,1,active,Default,Item_GoldenHandbell_Name,Golden Handbell,금빛 핸드벨,COMPANION,,
Golden Maple Leaf,GoldenMapleLeaf,1126,artifact,0,active,Default,Item_EXPGain_Name,Golden Maple Leaf,황금 단풍잎,SAVVY,+10/15/20/25/30% 경험치 드롭,+10/15/20/25/30% Experience Drop
Golden Needle of the North,UpperSlotUpgradeArtifact,1289,artifact,2,active,Locked,Item_UpCharmDamage_Name,Golden Needle of the North,북향의 금빛 침,,윗 칸 아티팩트의 피해량 +6/8/10% / 등급이 고급 이하라면 추가 피해량 +15/20/25% / 직접 피해를 주는 아티팩트에만 적용,"Damage of the Artifact in the above slot +6/8/10% / If Rarity is Advanced or below, bonus damage +15/20/25% / Applies only to Artifact that deal direct damage"
Great Blessing,Skill_Icon_HighBless,3032,artifact,1,active,Locked,Skill_0034_Name,Great Blessing,대축복,MYSTIC,스킬 대축복 획득 / 모든 피해량을 12% 증가시키는 버프를 획득 / CD: 20s / MP: 19/15/12 / 지속시간: 12,Acquire Skill Great Blessing / Gain a buff that increases all damage dealt by 12% / CD: 20s / MP: 19/15/12 / Duration: 12
Green Gi,GreenGi,1160,artifact,2,active,Locked,Item_GreenGi_Name,Green Gi,녹색 도복,SHADOW,+2/3/4/5 회피 / +5/7/9/12% 이동 속도 / 회피 성공 시 전방으로 '호격권' 시전 / [피해량: 30 (30 + 물리 피해 +200/300/450/650%)],"+2/3/4/5 Evasion / +5/7/9/12% Move Speed / Upon a successful Evasion, casts Tiger Strike forward / [Damage: 30 (30 + Physical Damage +200/300/450/650%)]"
Green Ink Bottle,BlueInkBottle - Copy,1132,artifact,1,active,Default,Item_AttackChim_Name,Green Ink Bottle,초록 잉크병,CURSE,디버프를 가할 때 +20/30/40/50% 확률로 가까운 적에게 추가 부여 (재사용 대기시간 0.4초),"When you inflict a debuff, there is a +20/30/40/50% chance to also inflict it on a nearby enemy (Cooldown: 0.4 sec)"
Green Sawblade,GreenGear,1088,artifact,0,active,Default,Item_GainCriticalBuffOnMPLoss_Name,Green Sawblade,초록색 톱니,PRECISION,"전투 중 MP 소모 15당 치명타 확률 버프 3% 획득 (20초간, 3스택까지 중복 가능)","Each time you use MP 15 in combat, receive a 3% Critical Chance buff (stacks up to 3 times and lasts 20 seconds)"
Guillotine of Bitter Cold,FrozenGuillotine,1303,artifact,2,active,Locked,Item_Guillotine_Name,Guillotine of Bitter Cold,혹한의 길로틴,"FROST, MAGITECH","6초마다 주변 적 최대 4명에게 얼음+번개 속성 칼날을 소환. 적에게 감전 피해를 입히면 대기시간 1초 감소 / 피해량 : (번개속성 피해, 얼음속성 피해 중 높은 피해 + 낮은 피해의 30%) × +150/200/250%","Every 6s, summons Ice+Lightning blades on up to 4 nearby enemies. Dealing Electrocution damage reduces the cooldown by 1s / Damage : +150/200/250% of (the higher of Lightning Damage and Cold Damage + 30% of the lower)"
Hand Mirror,HandMirror,1234,artifact,2,active,Locked,Item_HandMirror_Name,Hand Mirror,손 거울,GUARDIAN,+3/6/9 방어력 / 대시 시 5초 지속되는 보호막 5/10 획득 (재사용 대기시간 5초),+3/6/9 Defense / Gain Shield 5/10 for 5s when using Dash (Cooldown: 5s)
Haste,Skill_Icon_Haste,3019,artifact,1,active,Locked,Skill_0024_Name,Haste,헤이스트,WINDSONG,스킬 헤이스트 획득 / 공격 속도와 이동 속도를 15% 증가시키는 버프를 획득 / CD: 38s / MP: 36/24/12 / 지속시간: 24,Acquire Skill Haste / Gain a buff that increases ATKSPD and Move Speed by 15% / CD: 38s / MP: 36/24/12 / Duration: 24
Heart-Shaped Carrot,HeartCarrot,1005,artifact,2,active,Default,Item_HeartShapedCarrot_Name,Heart-Shaped Carrot,하트 모양 당근,LAKE,최대 HP +5/10/15/20/30 / 최대 MP +5/10/15/20/30,Max HP +5/10/15/20/30 / Max MP +5/10/15/20/30
Heavy Heart,ABurden,1304,artifact,0,active,Hidden,Item_MindBurden_Name,Heavy Heart,마음의 짐,,,
Heita’s Spirit Powder,JellyFishDust0,1198,artifact,1,active,Locked,Item_SummonJellyFish_Name,Heita’s Spirit Powder,헤이타의 영혼 가루,"COMPANION, GLACIER",,
Helena’s Model Stairway,HelenasStairwayModel,1125,artifact,1,active,Default,Item_Speed_Name,Helena’s Model Stairway,헬레나의 계단 모형,WINDSONG,"장소 이동 시 90초간 이동 속도+10/14/18/22/26/30%, 공격 속도+10/14/16/20/25/30% 증가 버프 획득","When entering another place, gain a buff that increases Move Speed by +10/14/18/22/26/30% and Attack Speed by +10/14/16/20/25/30% for 90 seconds"
Hiring Crest “Collin”,RedDogSymbol,1197,artifact,2,active,Default,Item_WeaselKnight_Name,Hiring Crest “Collin”,고용 문장 '콜린',COMPANION,,
Ice Bolt,Skill_Icon_Icebolt,3027,artifact,0,active,Locked,Skill_0029_Name,Ice Bolt,아이스 볼트,GLACIER,스킬 아이스 볼트 획득 / 주변의 수분을 결정화한 투사체를 2회 발사 / CD: 1s / MP: 2 / 피해량: 14/16 + 얼음속성 피해 20/30%,Acquire Skill Ice Bolt / Fires 2 crystallized water projectiles / CD: 1s / MP: 2 / Damage: 14/16 + Cold Damage 20/30%
Ice Bug,IceBug,1212,artifact,2,active,Locked,Item_FrostbiteStack_Name,Ice Bug,빙결충,GLACIER,10/15/20/25/30//40/50% 빙결 디버프 피해량,10/15/20/25/30//40/50% Freeze Debuff Damage
Ice Star,IceStar,1210,artifact,1,active,Default,Item_FrostRelicStack_Name,Ice Star,아이스 스타,FROST,얼음 무구가 0/0/0/0/0/1회 추가 발동 / 0/0/0/0/0/-10% 얼음 무구의 피해량 / 0/0/1/1/2/2 행운,Additional activation of Frost Relic 0/0/0/0/0/1 times / 0/0/0/0/0/-10% Frost Relic damage / 0/0/1/1/2/2 Luck
Ice Vine,IceThornFlower2,1139,artifact,2,active,Locked,Item_IcicleVine_Name,Ice Vine,빙설덩굴,GLACIER,특수 공격 사용 시 전방으로 1줄기 얼음 가시 생성 (피해량: 10 + 얼음속성 피해 +50/90/140%) / 가시가 적에게 적중 시 동상 부여 / 재사용 대기시간 0.8초,"When using Special Attack, creates 1 line of ice thorns forward (Damage: 10 + +50/90/140% Cold Damage) / When thorns hit an enemy, inflict Frostbite / Cooldown: 0.8 seconds"
Ice Wings,IceWing,1179,artifact,3,active,PocketDimensionShop,Item_IceWings_Name,Ice Wings,얼음 날개,FROST,얼음 무구가 0/0/0/1/1//1/2회 추가 발동 / 0/0/0/-10/10//10/20% 얼음 무구의 피해량 / +2/4/6/8/10//12/20% 치명타 피해,Additional activation of Frost Relic 0/0/0/1/1//1/2 times / 0/0/0/-10/10//10/20% Frost Relic damage / +2/4/6/8/10//12/20% Critical Damage
Icebound Tejas,FrozenFlame,1243,artifact,2,active,Locked,Item_ IceboundTejas_Name,Icebound Tejas,봉인된 테자스,"EMBER, GLACIER",화상이 푸른 화상으로 변경 / +3/6/9/12/15% 화상 피해량,Burn changes to Blue Burn / +3/6/9/12/15% Burn Damage
Impact Amplifier,SuperVibrationClock,1267,artifact,3,active,Locked,Item_Fixer_Name,Impact Amplifier,충격 증폭기,MYSTIC,+1/1/1/2/2//3/4/4/5/6//7/8/9/12/14 고정 피해,+1/1/1/2/2//3/4/4/5/6//7/8/9/12/14 True Damage
Jeweled Armor,JewelArmor,1166,artifact,2,active,Locked,Item_MagicCritical_Name,Jeweled Armor,보석 갑옷,ACADEMY,+10/20/30% 마법서의 치명타 확률 / +4/6/8 MP 재생 / -3/5/7 물리 피해,+10/20/30% Grimoire Critical Chance / +4/6/8 MP Regeneration / -3/5/7 Physical Damage
Jolow's Watering Can,WateringCan,1292,artifact,2,active,Locked,Item_MPMultipleCast_Name,Jolow's Watering Can,조로우의 물뿌리개,"LAKE, ACADEMY","+3/6/9/12/15% 마법서 피해량 / 최대 MP가 +500/400/320/250/200 이상인 경우, 마법서 1회 추가 시전","+3/6/9/12/15% Grimoire Damage / If Max MP is at least +500/400/320/250/200, cast Grimoire 1 additional times"
Judgment of Thunder,Skill_Icon_SuperHyperLightning,3036,artifact,3,active,Locked,Skill_0037_Name,Judgment of Thunder,천둥의 심판,MAGITECH,스킬 천둥의 심판 획득 / 거대한 전격 광선을 방출하여 10회 공격 / CD: 25s / MP: 24/28/32/36/36 / 피해량: 12 + 번개속성 피해 100/120/140/160/180%,Acquire Skill Judgment of Thunder / Emit a massive lightning beam to attack 10 times / CD: 25s / MP: 24/28/32/36/36 / Damage: 12 + Lightning Damage 100/120/140/160/180%
Kaleidoscope,Kaleidoscope,1195,artifact,1,active,Default,Item_Kaleidoscope_Name,Kaleidoscope,만화경,PRECISION,+15/25/35/45/55% 대상의 슈퍼 아머에 추가 피해,+15/25/35/45/55% Extra damage to target’s Super Armor
Keel Fragment,KeelFrgment,1012,artifact,0,active,Default,Item_KeelFragment_Name,Keel Fragment,용골 파편,MYSTIC,최대 HP +5/20,Max HP +5/20
Kirin's Horn,KirinsHorn,1170,artifact,2,active,Locked,Item_KirinHorn_Name,Kirin's Horn,기린의 뿔,MAGITECH,-2/4/6 얼음속성 피해 / 번개 속성 공격의 치명타 확률 +10/20/30% (동료 피해에도 적용),-2/4/6 Cold Damage / Lightning element attack Critical Chance +10/20/30% (also applies to Companion damage)
Kriton’s Seal,KritonsSeal,1087,artifact,0,active,Default,Item_IncreaseGoldDropRate_Name,Kriton’s Seal,크리톤의 인장,SAVVY,잎 획득량 +10/50%,Increases Leaf gain by +10/50%
Kunai,ThrowingDagger,1152,artifact,1,active,Locked,Item_Kunai_Name,Kunai,쿠나이,PRECISION,일반 공격 시 +100/125/150% 확률로 쿠나이를 발사 / [피해량: 10 (10+치명타 피해20/30%)],Normal attacks have a +100/125/150% chance to fire a kunai / [Damage: 10 (10+Critical Damage20/30%)]
Lantern,Lantern,1227,artifact,0,active,Hidden,Item_Lantern_Name,Lantern,랜턴,,,
Leaf Bird Leather,LeafyLeather,1072,artifact,1,active,Default,Item_Lightning_BasicAttack_Name,Leaf Bird Leather,잎새 가죽,DARKCLOUD,"+2/2/3/4% 먹구름의 추가 피해량 / 일반 공격, 대시 공격 적중 시 +100/175/275/400% 확률로 먹구름을 즉시 1 소모 (재사용 대기시간 +1.2/0.9/0.8/0.6초)","+2/2/3/4% Extra Storm Cloud damage / When Normal Attack or Dash attack hit, there's a +100/175/275/400% chance to immediately consume 1 Storm Cloud (Cooldown: +1.2/0.9/0.8/0.6 seconds)"
Library Minute Hand Miniature,LibraryMinuteHandMiniature,1058,artifact,2,active,Default,Item_LibraryMinute_Name,Library Minute Hand Miniature,도서관 분침 미니어처,PRECISION,+0.1/0.2/0.3/0.4/0.5s 특수 공격: 퓨리 시 무적 시간,+0.1/0.2/0.3/0.4/0.5s Invincibility Duration During Special Attack: Fury
Lightning Arrow,Skill_Icon_LightningArrow,3011,artifact,0,active,Locked,Skill_0003_Name,Lightning Arrow,라이트닝 애로우,MAGITECH,스킬 라이트닝 볼트 획득 / 인접한 적을 추가로 공격하는 투사체 발사 / CD: 1s / MP: 2 / 피해량: 20/22 + 번개속성 피해 40/60%,Acquire Skill Lightning Bolt / Additionally fires projectiles at nearby enemies / CD: 1s / MP: 2 / Damage: 20/22 + Lightning Damage 40/60%
Lightning Boomerang,Skill_Icon_LightningBoomerang,3034,artifact,1,active,Locked,Skill_0004_Name,Lightning Boomerang,번개 부메랑,MAGITECH,스킬 번개 부메랑 획득 / 전기로 감싼 부메랑을 발사 (돌아오는 부메랑을 회수하면 재사용 대기시간 일부 회복) / CD: 10s / MP: 9/10/11/12/12 / 피해량: 30 + 번개속성 피해 180/240/310/380/450%,Acquire Skill Lightning Boomerang / Launch a boomerang wrapped in electricity (recover part of cooldown by retrieving the returning boomerang) / CD: 10s / MP: 9/10/11/12/12 / Damage: 30 + Lightning Damage 180/240/310/380/450%
Lightning Rod,LightningRod,1113,artifact,3,active,Default,Item_MinimumLightning_Name,Lightning Rod,피뢰침,DARKCLOUD,+5/10/15/20/25//30/35/40 먹구름 용량 / +3/6/9/12/15//18/21/24% 전투 중 먹구름 회복 속도 / +1/2/3/4/5//6/7/8 번개속성 피해,+5/10/15/20/25//30/35/40 Storm Cloud Capacity / +3/6/9/12/15//18/21/24% Storm Cloud Recovery Rate during Combat / +1/2/3/4/5//6/7/8 Lightning Damage
Lightning Stone,LightningStone,1055,artifact,2,active,PocketDimensionShop,Item_PerfectGuardCounter_Lightning_Name,Lightning Stone,번갯돌,DARKCLOUD,+25/30/35/40/45//50/60% 먹구름의 추가 피해량,+25/30/35/40/45//50/60% Extra Storm Cloud damage
Lightning-Struck Branch,BoltChargedBramble,1141,artifact,0,active,Default,Item_Electric_Name,Lightning-Struck Branch,번개 맞은 나뭇가지,MAGITECH,무기 공격이나 마법서로 피해를 주면 대상에게 +10/20/30 번개속성 피해를 가함 (재사용 대기시간 2초),"When dealing damage with Weapon Attack or Grimoire, inflict +10/20/30 Lightning Damage on target (Cooldown 2 sec)"
Lizard Plate Armor,LizardArmor,1217,artifact,2,active,PocketDimensionShop,Item_PlateArmor_Name,Lizard Plate Armor,도마뱀 판금 갑옷,GUARDIAN,+14/16/18/21/24 방어력 / -2/4/6/8/10% 이동 속도 / -2/4/6/8/10% 공격 속도 / -2/4/6/8/10 마법서 가속,+14/16/18/21/24 Defense / -2/4/6/8/10% Move Speed / -2/4/6/8/10% Attack Speed / -2/4/6/8/10 Grimoire Haste
Log,Log,1286,artifact,0,active,Hidden,Item_Log_Name,Log,통나무,,이동 속도 -0.4%,Move Speed -0.4%
Lucky Medal,QuestGoldIcon,1271,artifact,1,active,Default,Item_TradeMoney_Name,Lucky Medal,행운의 메달,SAVVY,"+2/6/10 협상력 / 상인과 거래 시, +100/150/200 잎 생성 (상인당 1회 발동)",+2/6/10 Barter / Generate +100/150/200 Leaf when trading with a merchant (activates once per merchant)
Lunch Box,LunchBox,1282,artifact,1,active,WitchHat,Item_KongdolLunchbox_Name,Lunch Box,도시락,,+1/1/1/1/2 HP 흡수,+1/1/1/1/2 Life Steal
Mage's Coin,WizardCoin,1064,artifact,0,active,Locked,Item_MagicianCoin_Name,Mage's Coin,마법사의 동전,ACADEMY,+15/20/30/50/65 마법서 가속 / 보상에서 마법서가 등장할 확률 25% 증가,+15/20/30/50/65 Grimoire Haste / Increase the chance of Grimoire appearing in rewards by 25%
Magic Bucket,Bucket,1098,artifact,0,active,Hidden,Item_MagicBucket_Name,Magic Bucket,마법 양동이,,이동 속도 +0/0.1/0.1%,Move Speed +0/0.1/0.1%
Magic Bucket Full of Water,BucketWithWater,1099,artifact,0,active,Hidden,Item_MagicBucket_Water_Name,Magic Bucket Full of Water,물로 가득 찬 마법 양동이,,이동 속도 -0.4%,Move Speed -0.4%
Magic Carrot,MagicCarrot,1048,artifact,1,active,Default,Item_AmplitudeMagicCharmAP_Name,Magic Carrot,마법 당근,ELEMENTAL,+2/3/4/6/8 가장 높은 속성 피해 / +2/4/6/8/10% 이동 속도,+2/3/4/6/8 Highest Elemental Damage / +2/4/6/8/10% Move Speed
Magic Glasses,MagicGlasses,1163,artifact,2,active,Default,Item_MagicGlasses_Name,Magic Glasses,마법의 안경,SHADOW,+3/6/9/12 회피 / +7/14/22/30 최대 MP,+3/6/9/12 Evasion / +7/14/22/30 Max MP
Magma Bead,LavaBall,1213,artifact,3,active,Default,Item_MagmaBead_Name,Magma Bead,마그마 구슬,EMBER,화상 부여 시 0/1/1/2회 추가 부여 / +1/1/1/2 화상 중첩,Grants Burn 0/1/1/2 additional times / +1/1/1/2 Burn stacks
Meditation Book,QuickCast,1228,artifact,2,active,Locked,Item_QuickCast_Name,Meditation Book,명상 서적,ACADEMY,모든 마법서를 동작 없이 즉시 시전 / +6/8/11/14% 마법서 피해량,Instantly cast all Grimoire without action / +6/8/11/14% Grimoire Damage
Meteor Shower,Skill_Icon_MeteorRain,3022,artifact,3,active,Locked,Skill_0027_Name,Meteor Shower,메테오 샤워,EMBER,스킬 메테오 샤워 획득 / 시전 위치 범위에 무작위로 운석을 떨어뜨림 / CD: 26s / MP: 35/38/41/44 / 피해량: 22 + 화염속성 피해 50/100/180/200% / 메테오 개수: 20/25/30/35,Acquire Skill Meteor Shower / Randomly drops meteors within the casting area / CD: 26s / MP: 35/38/41/44 / Damage: 22 + Fire Damage 50/100/180/200% / Number of Meteors: 20/25/30/35
Meteorite Earrings,Sol,1236,artifact,3,active,Default,Item_FlameSwordReturn_Name,Meteorite Earrings,운철 귀걸이,FLAMESWORD,+5/10/15% 태양검 피해량 / +2/4/7 화염속성 피해 / 태양검 투척 시 자신과 가까운 곳에 떨어짐,+5/10/15% Solar Blade Damage / +2/4/7 Fire Damage / Solar Blade Falls near you when thrown
Meteorite Pauldrons,SunACC,1237,artifact,1,active,Default,Item_FlameSwordFall_Name,Meteorite Pauldrons,운철 어깨 장식,FLAMESWORD,"바닥에 떨어진 모든 태양검을 회수하고, 그 경로의 적에게 태양검 피해","Retrieve all Solar Blade that have fallen to the ground, dealing Solar Blade damage to enemies in the path"
Mini Ballista,LightningBallista,1071,artifact,1,active,Default,Item_MiniBalista_Name,Mini Ballista,미니 발리스타,"COMPANION, DARKCLOUD",함께 싸워주는 동료 소환 / 전기 화살에 적이 맞으면 +20/34/48/61/75% 확률로 먹구름 획득,Summon a companion to fight with you / Gain Storm Cloud with a +20/34/48/61/75% chance when a lightning arrow hits an enemy.
Mining Supervisor Armband,OrangeBand,1202,artifact,3,active,Locked,Item_SummonMole_Chief_Name,Mining Supervisor Armband,채굴 작업 총괄 완장,COMPANION,,
Model Beak,FakeBirdBeak,1081,artifact,2,active,Default,Item_IncreasePeacefulMoveSpeed_Name,Model Beak,모형 부리,SHADOW,+1/2/3/5/8 물리 피해 / +2/3/4/5/6 회피,+1/2/3/5/8 Physical Damage / +2/3/4/5/6 Evasion
Model Mast,MastModel,1065,artifact,0,active,Default,Item_Lightning_Faster_Name,Model Mast,돛대 모형,DARKCLOUD,+20/40/60% 먹구름의 소모 속도,+20/40/60% Consumption Speed of Storm Cloud
Mouse Mage’s Pendant,MouseWizard_sPendant,1073,artifact,1,active,Locked,Item_FullChargeMagicAPBonus_Name,Mouse Mage’s Pendant,쥐 마법사의 펜던트,ACADEMY,볼트 마법이 적을 향해 유도 / +2/5 MP 재생,Bolt Magic homes in on enemies / +2/5 MP Regeneration
Multicolored Candy Glass Jar,ElementalCandy,1277,artifact,1,active,Default,Item_ElementalCandy_Name,Multicolored Candy Glass Jar,오색사탕 유리병,ELEMENTAL,가장 높은 속성 피해의 +100/150/200/250%만큼 피해를 주는 속성 폭탄을 +1/2/3/4개 발사,Fire +1/2/3/4 elemental bombs dealing +100/150/200/250% of the highest elemental damage
Multipurpose Belt,PpppocketBelt,1030,artifact,2,active,Locked,Item_Belt_Name,Multipurpose Belt,다용도 벨트,MYSTIC,인벤토리 맨 위칸에 있는 아티팩트 하나당 아래 효과를 중복 획득 / 화염속성 피해 +1/1/1/2 / 번개속성 피해 +1/1/1/2 / 얼음속성 피해 +1/1/1/2,The following effects stack for each artifact in a top-row slot of your inventory / Fire Damage +1/1/1/2 / Lightning Damage +1/1/1/2 / Cold Damage +1/1/1/2
Mystical Pendulum,MagicPendulum,1262,artifact,3,active,Locked,Item_MagicPendulum_Name,Mystical Pendulum,신비한 무게 추,STURDY,+22/26/32/40/50% 일반 공격 피해 / -10/10/10/10/10% 공격 속도,+22/26/32/40/50% Normal Attack Damage / -10/10/10/10/10% Attack Speed
Neutralizer Noir,BlackNeutralizer,1121,artifact,1,active,Default,Item_AllStat_Name,Neutralizer Noir,중화제 흑,CURSE,+4/8/12/16% 디버프로 주는 피해량 / -10/10/6/6% 치명타 확률,+4/8/12/16% Damage dealt with Debuff / -10/10/6/6% Critical Chance
Oak Tree Coal,MongolianOakCharcoal,1102,artifact,1,active,Default,Item_FlameGround_Duration_Name,Oak Tree Coal,신갈나무 숯,EMBER,+10/20/30/40/50//60/70/80/90% 화상 공격 속도,+10/20/30/40/50//60/70/80/90% Attack Speed of Burn
Ohia Lehua,OhiaLehua,1101,artifact,0,active,Default,Item_FlameGround_Range_Name,Ohia Lehua,오히아 레후아,EMBER,무기 공격이나 마법서로 피해를 주면 대상에게 +10/20/30 화염속성 피해를 가함 (재사용 대기시간 2초),"When dealing damage with Weapon Attack or Grimoire, inflict +10/20/30 Fire Damage on target (Cooldown 2 sec)"
Oink Shaman’s Necklace,OinkShaman_sNecklace,1182,artifact,2,active,Locked,Item_DebuffDuration_Name,Oink Shaman’s Necklace,오잉크 주술사의 목걸이,CURSE,+20/40/60/80/100% 적에게 부여하는 모든 디버프의 지속시간,+20/40/60/80/100% Duration of all debuffs inflicted on enemies
